WindSpeed.ms,Power.kW
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,20
3.75,30
4,43
4.25,61
4.5,83
4.75,106
5,131
5.25,157
5.5,185
5.75,216
6,250
6.25,287
6.5,326
6.75,369
7,416
7.25,467
7.5,521
7.75,577
8,640
8.25,711
8.5,785
8.75,855
9,924
9.25,994
9.5,1062
9.75,1124
10,1181
10.25,1234
10.5,1283
10.75,1325
11,1359
11.25,1383
11.5,1402
11.75,1420
12,1436
12.25,1451
12.5,1463
12.75,1473
13,1481
13.25,1485
13.5,1488
13.75,1491
14,1494
14.25,1498
14.5,1500
14.75,1500
15,1500
15.25,1500
15.5,1500
15.75,1500
16,1500
16.25,1500
16.5,1500
16.75,1500
17,1500
17.25,1500
17.5,1500
17.75,1500
18,1500
18.25,1500
18.5,1500
18.75,1500
19,1500
19.25,1500
19.5,1500
19.75,1500
20,1500
20.25,1500
20.5,1500
20.75,1500
21,1500
21.25,1500
21.5,1500
21.75,1500
22,1500
22.25,1500
22.5,1500
22.75,1500
23,1500
23.25,1500
23.5,1500
23.75,1500
24,1500
24.25,1500
24.5,1500
24.75,1500
25,1500
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
